,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length,,,,,,,,,,
empty_ng_plus_desc,"Once again......",,,,,,,,"再一次......",,,,,,,,,,,,,,,
empty_teleport_pyramid,"Portal to top of Pyramid",,,,,,,,"去往 金字塔顶 的传送门",,,,,,,,,,,,,,,
statusdesc_mana_regeneration,"You gain mana back faster",,,,,,,,"你的法力更快恢复",,,,,,,,,,,,,,,,
status_hover_boost,"Strong Levitation",,,,,,,,"强漂浮力",,,,,,,,,,,,,,,,
statusdesc_hover_boost,"You can fly 100% longer",,,,,,,,"你的飞行距离加倍",,,,,,,,,,,,,,,,
status_faster_levitation,"Faster Levitation ( Perk Effect )",,,,,,,,"更快漂浮 ( 天赋效果 )",,,,,,,,,,,,,,,,
statusdesc_faster_levitation,"You are considered to have [ Faster Levitation ] perk",,,,,,,,"你视为拥有 [ 更快漂浮 ] 天赋",,,,,,,,,,,,,,,,
status_levitation,"Faster Levitation ( Magic Liquid Effect )",,,,,,,,"更快漂浮 ( 魔药效果 )",,,,,,,,,,,,,,,,
statusdesc_levitation,"You levitate 75% faster",,,,,,,,"上升速度提高 75%",,,,,,,,,,,,,,,,
status_movement_faster_2x,"Faster Movement ( Magic Liquid Effect )",,,,,,,,"更快移动 ( 魔药效果 )",,,,,,,,,,,,,,,,
statusdesc_movement_faster_2x,"You feel extremely fast",,,,,,,,"你感觉迅捷如风",,,,,,,,,,,,,,,,
status_movement_faster,"Faster Movement ( Perk Effect )",,,,,,,,"更快移动 ( 天赋效果 )",,,,,,,,,,,,,,,,
statusdesc_movement_faster,"You are considered to have [ Faster Movement ] perk",,,,,,,,"你视为拥有 [ 更快移动 ] 天赋",,,,,,,,,,,,,,,,
status_movement_slower,"Clumsy movement",,,,,,,,"笨拙移动",,,,,,,,,,,,,,,,
statusdesc_movement_slower,"Movement is difficult",,,,,,,,"移动很艰难",,,,,,,,,,,,,,,,
status_movement_slower_2x,"Slower Movement",,,,,,,,"更慢移动",,,,,,,,,,,,,,,,
statusdesc_movement_slower_2x,"You move slower",,,,,,,,"移动速度变慢",,,,,,,,,,,,,,,,
status_extra_money,"Extra Gold ( Curse of Greed )",,,,,,,,"额外黄金 ( 贪婪诅咒 )",,,,,,,,,,,,,,,,
statusdesc_extra_money,"You gain 3× gold",,,,,,,,"你获得 3 倍的黄金",,,,,,,,,,,,,,,,
status_extra_money_trick_kill,"Trick Greed",,,,,,,,"技巧贪婪",,,,,,,,,,,,,,,,
statusdesc_extra_money_trick_kill,"On trick kill: gold you gain is additionally doubled",,,,,,,,"造成技巧击杀时: 你获得的黄金额外翻倍",,,,,,,,,,,,,,,,
status_friend_firemage,"Fire Affinity",,,,,,,,"火元素亲和",,,,,,,,,,,,,,,,
statusdesc_friend_firemage,"Fire mages and hellfire mages are friendly to you",,,,,,,,"火魔 与 炎魔 对你友好",,,,,,,,,,,,,,,,
status_friend_thundermage,"Electricity Affinity",,,,,,,,"雷元素亲和",,,,,,,,,,,,,,,,
statusdesc_friend_thundermage,"Thunder mages and great thunder mages are friendly to you",,,,,,,,"电魔 与 雷魔 对你友好",,,,,,,,,,,,,,,,
status_rainbow_farts,"Rainbow farts",,,,,,,,"彩虹屁",,,,,,,,,,,,,,,,
statusdesc_rainbow_farts,"Open your eyes, I see\nyour eyes are open\nwear no disguise for me\ncome into open",,,,,,,,"睁开双眼吧，我看到了\n你的双眼睁开了\n不要在我面前掩掩藏藏\n开诚布公吧",,,,,,,,,,,,,,,,
status_farts,"Gassy",,,,,,,,"胀气",,,,,,,,,,,,,,,,
statusdesc_farts,"You're feeling pressure inside",,,,,,,,"你感觉体内有股压力",,,,,,,,,,,,,,,,
status_breath_underwater,"Breathless",,,,,,,,"屏息静气",,,,,,,,,,,,,,,,
statusdesc_breath_underwater,"You no longer need to breath",,,,,,,,"你不再需要呼吸",,,,,,,,,,,,,,,,
status_exploding_corpse_shots,"Exploding Corpses?",,,,,,,,"爆尸?",,,,,,,,,,,,,,,,
statusdesc_exploding_corpse_shots,"Enemies explode upon death???",,,,,,,,"敌人死亡时爆炸???",,,,,,,,,,,,,,,,
status_exploding_corpse,"Exploding Corpses",,,,,,,,"爆尸",,,,,,,,,,,,,,,,
statusdesc_exploding_corpse,"Enemies explode upon death",,,,,,,,"敌人死亡时爆炸",,,,,,,,,,,,,,,,
status_projectile_homing,"Homing Shots",,,,,,,,"追踪射击",,,,,,,,,,,,,,,,
statusdesc_projectile_homing,"Your spells home towards enemies very slightly",,,,,,,,"你所有法术都会轻微追踪敌人",,,,,,,,,,,,,,,,
status_worm_attractor,"Worm Attractor",,,,,,,,"蠕虫吸引者",,,,,,,,,,,,,,,,
statusdesc_worm_attractor,"Worms find you exceptionally captivating",,,,,,,,"蠕虫认为你魅力非凡",,,,,,,,,,,,,,,,
status_worm_detractor,"Worm Detractor",,,,,,,,"蠕虫排斥者",,,,,,,,,,,,,,,,
statusdesc_worm_detractor,"Worms find you utterly repulsive",,,,,,,,"蠕虫认为你臭不可闻",,,,,,,,,,,,,,,,
status_global_gore,"More Blood",,,,,,,,"更多血液",,,,,,,,,,,,,,,,
statusdesc_global_gore,"Blood! More blood!",,,,,,,,"血! 更多血!",,,,,,,,,,,,,,,,
status_ability_actions_materialized,"Bombs Materialized",,,,,,,,"炸弹物质化",,,,,,,,,,,,,,,,
statusdesc_ability_actions_materialized,"Bomb-like spells can be placed in ITEMS space in inventory and used like throwable items",,,,,,,,"炸弹类法术可放置于物品栏的物品空间, 如同投掷物品一般使用",,,,,,,,,,,,,,,,
status_no_damage_flash,"Remove Damage Flash",,,,,,,,"移除闪屏",,,,,,,,,,,,,,,,
statusdesc_no_damage_flash,"No longer flash red screen warning when at low health",,,,,,,,"生命值低下时屏幕不再会闪烁红光",,,,,,,,,,,,,,,,
empty_form_on,"[ $0 ] form is < ON > | OFF now",,,,,,,,"[ $0 ] 形态已 < 开启 > | 关闭",,,,,,,,,,,,,,,,
empty_form_off,"[ $0 ] form is ON | < OFF > now",,,,,,,,"[ $0 ] 形态已 开启 | < 关闭 >",,,,,,,,,,,,,,,,
empty_echo_form,"ECHO",,,,,,,,"回响",,,,,,,,,,,,,,,,
empty_bloodlust_form,"BLOODLUST",,,,,,,,"嗜血",,,,,,,,,,,,,,,,
empty_homing_form,"HOMING",,,,,,,,"追踪",,,,,,,,,,,,,,,,
empty_statue_form,"STATUE",,,,,,,,"雕像",,,,,,,,,,,,,,,,
empty_rec_form,"REC",,,,,,,,"递归",,,,,,,,,,,,,,,,
empty_iter_form,"ITER",,,,,,,,"迭代",,,,,,,,,,,,,,,,
